X,Y,Z,formation
552515.2006226572,-11944.941207217784,-78.55141516050793,Cretaceous
552735.6532381477,-12089.117217748626,-79.48791581527144,Cretaceous
553343.3206512596,-12486.531705923817,-81.99249039332713,Cretaceous
554257.6672119532,-13084.514356617357,-85.60774781532291,Cretaceous
555398.1572701884,-13830.39485470324,-89.87629700190647,Cretaceous
556684.2551759258,-14671.502885055463,-94.34074687372572,Cretaceous
558035.4252791253,-15555.168132547999,-98.54370635142843,Cretaceous
559371.1319297475,-16428.720282054874,-102.02778435566242,Cretaceous
560610.8394777523,-17239.489018450065,-104.33558980707551,Cretaceous
561674.0122731003,-17934.804026607577,-105.00973162631558,Cretaceous
562480.1146657513,-18461.9949914014,-103.59281873403035,Cretaceous
563315.7978291097,-19008.53178023777,-96.22416481957097,Cretaceous
564667.8085817699,-19892.74681247753,-83.70522526876616,Cretaceous
565904.5786676519,-20701.5944486443,-74.63310259761025,Cretaceous
567033.3898270811,-21439.836946911026,-68.65084134977656,Cretaceous
568061.5238003832,-22112.23656545062,-65.40148606893842,Cretaceous
568996.2623278839,-22723.555562436028,-64.52808129876931,Cretaceous
569844.8871499085,-23278.55619604017,-65.67367158294252,Cretaceous
570614.6800067829,-23782.000724435973,-68.4813014651314,Cretaceous
571312.9226388324,-24238.651405796365,-72.59401548900937,Cretaceous
571946.8967863827,-24653.27049829429,-77.65485819824977,Cretaceous
572523.8841897594,-25030.620260102638,-83.30687413652598,Cretaceous
573051.166589288,-25375.46294939438,-89.19310784751136,Cretaceous
573536.0257252943,-25692.560824342414,-94.9566038748793,Cretaceous
573985.7433381035,-25986.676143119686,-100.2404067623032,Cretaceous
574407.6011680415,-26262.57116389912,-104.68756105345634,Cretaceous
574808.8809554337,-26525.00814485363,-107.94111129201215,Cretaceous
575196.8644406057,-26778.749344156175,-109.64410202164396,Cretaceous
576087.2936215498,-27361.090028493567,-109.29633740367902,Cretaceous
577169.1104767763,-28068.598251811647,-108.39611765227173,Cretaceous
578016.0593844617,-28622.50283743796,-108.00002042896008,Cretaceous
578973.536396597,-29248.692803374495,-108.45101018515507,Cretaceous
580015.6110067411,-29930.20959840868,-109.56639959619875,Cretaceous
581031.7419671965,-30594.759246546473,-110.5970830326863,Cretaceous
582207.3199582427,-31363.58725269073,-111.58098766485733,Cretaceous
583451.7368291127,-32177.435886239706,-112.3234507091496,Cretaceous
584674.3844290391,-32977.04741659157,-112.62980938200099,Cretaceous
585784.6546072548,-33703.16411314459,-112.30540089984916,Cretaceous
586691.9392129922,-34296.52824529694,-111.15556247913204,Cretaceous
587388.9531251596,-34752.37534385435,-108.70990403315855,Cretaceous
588279.6325761073,-35334.879704774154,-104.05130645520356,Cretaceous
589260.0230614964,-35976.05508221868,-98.1913874674338,Cretaceous
590187.1276274476,-36582.38146835074,-91.99983424805725,Cretaceous
590917.9493200813,-37060.33885533318,-86.34633397528188,Cretaceous
591309.4911855181,-37316.40723532882,-82.10057382731566,Cretaceous
591532.2033890131,-37462.061016414555,-77.14312044628718,Cretaceous
592074.2113920577,-37816.53425040572,-68.5629629965359,Cretaceous
592692.7953425552,-38221.08815403111,-59.65470777004904,Cretaceous
593118.7746008456,-38499.678588953044,-53.76347739911364,Cretaceous
593175.9286714232,-38537.05735111081,-52.987717551553544,Cretaceous
520183.9112247195,-4157.885712292215,-67.89987449011034,Frasne
520417.43170120625,-4205.990930448483,-68.47921477341598,Frasne
521065.9899758105,-4339.593935016972,-70.08815954837601,Frasne
522051.5813162486,-4542.6257511472095,-72.5330947025551,Frasne
523296.20099023654,-4799.017403988722,-75.62040612351774,Frasne
524721.8442654905,-5092.699918691042,-79.15647969882863,Frasne
526250.5064097267,-5407.604320403691,-82.94770131605233,Frasne
527804.1826906612,-5727.661634276202,-86.80045686275346,Frasne
529304.8683760102,-6036.802885458099,-90.52113222649666,Frasne
530674.5587334898,-6318.959099098914,-93.91611329484647,Frasne
531835.2490308164,-6558.06130034817,-96.79178595536757,Frasne
532659.233294485,-6727.802058663921,-98.8250038973672,Frasne
533382.6810281493,-6876.832291798768,-100.48694301044304,Frasne
534313.0799915028,-7068.494478249578,-102.51158975935036,Frasne
535418.957159713,-7296.30517490089,-104.83946746424633,Frasne
536668.8395079478,-7553.780938637241,-107.41109944528824,Frasne
538031.2540113747,-7834.438326343175,-110.16700902263312,Frasne
539474.7276451613,-8131.793894903223,-113.04771951643838,Frasne
540967.7873844753,-8439.36420120193,-115.9937542468611,Frasne
542478.9602044846,-8750.665802123827,-118.94563653405856,Frasne
543976.7730803567,-9059.215254553459,-121.84388969818792,Frasne
545429.7529872591,-9358.52911537536,-124.62903705940644,Frasne
546806.4269003596,-9642.123941474074,-127.24160193787125,Frasne
548075.3217948258,-9903.51628973413,-129.62210765373965,Frasne
549204.9646458256,-10136.222717040077,-131.71107752716873,Frasne
550140.0348653987,-10391.582801970733,-133.4490348783158,Frasne
550786.6395125608,-10814.462241214744,-134.77650302733807,Frasne
551250.4218784975,-11117.775908537367,-135.67484519770773,Frasne
551770.6433518865,-11458.000752133828,-136.67382035254457,Frasne
552418.4947205428,-11881.695547234987,-137.91622722341984,Frasne
553181.8405229296,-12380.9237019959,-139.3646734948514,Frasne
554048.5452975101,-12947.748624571639,-140.98176685135707,Frasne
555006.4735827481,-13574.233723117271,-142.73011497745446,Frasne
556043.4899171068,-14252.442405787844,-144.5723255576616,Frasne
557147.4588390496,-14974.438080738424,-146.4710062764961,Frasne
558306.2448870399,-15732.28415612409,-148.38876481847595,Frasne
559507.7125995411,-16518.044040099878,-150.2882088681187,Frasne
560739.7265150166,-17323.781140820865,-152.13194610994228,Frasne
561990.1511719298,-18141.558866442105,-153.88258422846442,Frasne
563246.8511087442,-18963.440625118667,-155.50273090820306,Frasne
564497.6908639229,-19781.489825005607,-156.95499383367581,Frasne
565730.5349759297,-20587.76987425799,-158.2019806894005,Frasne
566933.2479832276,-21374.34418103087,-159.20629915989502,Frasne
568093.6944242803,-22133.276153479324,-159.9305569296771,Frasne
569197.8653898165,-22855.403964939993,-160.36868832917423,Frasne
570333.9351363973,-23598.393579203777,-160.81264600001907,Frasne
571533.5016005407,-24382.91004675366,-161.32701083015786,Frasne
572782.1040635717,-25199.496057575856,-161.89278838076348,Frasne
574065.2818068144,-26038.694301656567,-162.49098421300897,Frasne
575368.5741115933,-26891.04746898199,-163.10260388806716,Frasne
576677.520259233,-27747.098249538343,-163.70865296711133,Frasne
577977.6595310578,-28597.38933331184,-164.2901370113142,Frasne
579254.5312083925,-29432.46341028866,-164.82806158184877,Frasne
580493.6745725612,-30242.863170455028,-165.30343223988814,Frasne
581680.6289048886,-31019.131303797156,-165.69725454660517,Frasne
582800.9334866991,-31751.810500301235,-165.99053406317284,Frasne
583840.1275993172,-32431.443449953476,-166.16427635076417,Frasne
584783.7505240674,-33048.572842740105,-166.19948697055213,Frasne
585617.3415422741,-33593.74136864729,-166.0771714837096,Frasne
586326.4399352618,-34057.491717661265,-165.7783354514097,Frasne
586896.5849843551,-34430.36657976823,-165.2839844348253,Frasne
587313.3159708782,-34702.90864495439,-164.5751239951294,Frasne
587882.0832433384,-35074.882441143316,-162.56424563074756,Frasne
588626.9042148279,-35561.99535649749,-158.96864266403998,Frasne
589484.9312363314,-36123.14502856073,-154.16785133611123,Frasne
590416.0930475892,-36732.12485312334,-148.4843726667314,Frasne
591380.3183883418,-37362.728225975574,-142.24070767567056,Frasne
592337.5359983299,-37988.74854290773,-135.75935738269914,Frasne
593247.6746172938,-38583.9791997101,-129.36282280758698,Frasne
594070.6629849739,-39122.21359217294,-123.37360497010442,Frasne
594766.429841111,-39577.24511608653,-118.11420489002157,Frasne
595294.9039254453,-39922.86716724118,-113.90712358710866,Frasne
595698.6819688968,-40186.9380076585,-110.43230513780838,Frasne
596383.4140207616,-40634.752769578125,-105.06034048379055,Frasne
597284.9851160003,-41224.38026586421,-98.41660662632748,Frasne
598288.9397659518,-41880.966606932474,-91.24565407341134,Frasne
599280.8224819549,-42529.65790319856,-84.29203333303414,Frasne
600000.0,-43000.0,-78.30029491318805,Frasne
600000.0,-43000.0,-74.01498932186519,Frasne
600000.0,-43000.0,-72.18066706705761,Frasne
600000.0,-43000.0,-72.16049075826948,Frasne
515401.4851062973,-3172.7059318972424,-70.74028656766953,Namur
515645.3173061892,-3222.9353650749836,-71.5351947970021,Namur
516318.6675219857,-3361.645509529051,-73.71573628749124,Namur
517334.3161778675,-3570.869132640707,-76.975636242874,Namur
518605.0436980156,-3832.639001791216,-81.00861986688753,Namur
520043.6305066109,-4128.987884361842,-85.50841236326886,Namur
521562.8570278342,-4441.9485477338485,-90.1687389357551,Namur
523075.5036858665,-4753.553759288499,-94.68332478808333,Namur
524494.3509048886,-5045.836286407058,-98.74589512399069,Namur
525732.1791090815,-5300.828896470791,-102.05017514721425,Namur
526701.768722626,-5500.564356860961,-104.28989006149112,Namur
527296.048964927,-5622.986086774968,-105.30388563305985,Namur
527970.3918555465,-5761.900722242592,-106.44214262629367,Namur
528839.853761087,-5941.009874783933,-107.95362123758883,Namur
529877.5009702651,-6154.76519987462,-109.7875221382906,Namur
531056.3997717975,-6397.618352990278,-111.89304599974443,Namur
532349.6164544007,-6664.020989606536,-114.21939349329566,Namur
533730.2173067913,-6948.424765199022,-116.71576529028971,Namur
535171.2686176862,-7245.281335243362,-119.33136206207195,Namur
536645.8366758019,-7549.042355215183,-122.01538447998774,Namur
538126.987769855,-7854.159480590117,-124.7170332153826,Namur
539587.788188562,-8155.084366843784,-127.38550893960175,Namur
541001.3042206399,-8446.268669451818,-129.97001232399063,Namur
542340.6021548051,-8722.164043889843,-132.41974403989474,Namur
543578.7482797742,-8977.222145633488,-134.6839047586593,Namur
544688.808884264,-9205.894630158376,-136.71169515162978,Namur
545643.850256991,-9402.633152940141,-138.45231589015157,Namur
546553.9735565356,-9590.118552646327,-140.1936173198128,Namur
547492.9176067858,-9783.541026997873,-142.22922561545576,Namur
548451.1147760368,-9980.929643863588,-144.48779019091762,Namur
549434.4542450161,-10183.497574473316,-146.91907180549092,Namur
550383.5138169333,-10550.818036274386,-149.47283121846843,Namur
551281.8253718165,-11138.31379316802,-152.09882918914275,Namur
552216.7172392053,-11749.733074440244,-154.7468264768066,Namur
553193.2216280915,-12388.366944771831,-157.36658384075264,Namur
554216.3707474673,-13057.506468843574,-159.90786204027347,Namur
555291.1968063245,-13760.442711336269,-162.32042183466183,Namur
556422.7320136555,-14500.466736930699,-164.5540239832104,Namur
557616.008578452,-15280.86961030764,-166.55842924521176,Namur
558876.0587097063,-16104.942396147915,-168.28339837995878,Namur
560207.9146164103,-16975.976159132282,-169.6786921467438,Namur
561425.0610270433,-17771.989911686287,-170.65026003808714,Namur
562522.1329689334,-18489.474961682503,-171.59545296121678,Namur
563620.8172694652,-19208.014494230207,-172.6379088019271,Namur
564719.7946237008,-19926.74568390029,-173.75787654859954,Namur
565817.7457267029,-20644.805705263636,-174.93560518961556,Namur
566913.3512735338,-21361.3317328911,-176.15134371335637,Namur
568005.2919592563,-22075.460941353587,-177.38534110820348,Namur
569092.2484789327,-22786.330505221966,-178.61784636253827,Namur
570172.9015276255,-23493.077599067106,-179.82910846474192,Namur
571245.9318003973,-24194.839397459902,-180.99937640319604,Namur
572310.0199923108,-24890.753074971235,-182.10889916628196,Namur
573363.8467984281,-25579.95580617197,-183.1379257423809,Namur
574406.0929138119,-26261.584765632993,-184.06670511987437,Namur
575435.4390335247,-26934.777127925197,-184.87548628714364,Namur
576450.5658526291,-27598.67006761944,-185.54451823257023,Namur
577450.1540661874,-28252.40075928661,-186.0540499445354,Namur
578432.8843692624,-28895.106377497596,-186.38433041142048,Namur
579397.4374569163,-29525.924096823248,-186.515608621607,Namur
580465.8678280693,-30224.67755955728,-186.44337970478426,Namur
581685.8085347986,-31022.518781758234,-186.43988938464219,Namur
582832.7270436125,-31772.60348652258,-186.50634018675424,Namur
583913.8924238202,-32479.6856451784,-186.5182233363093,Namur
584936.5737447304,-33148.51922905371,-186.35103005849555,Namur
585908.0400756522,-33783.85820947651,-185.88025157850183,Namur
586835.5604858942,-34390.45655777484,-184.98137912151662,Namur
587726.4040447656,-34973.068245276736,-183.5299039127284,Namur
588587.8398215752,-35536.447243310206,-181.4013171773259,Namur
589427.136885632,-36085.34752320328,-178.4711101404974,Namur
590251.5643062446,-36624.523056283986,-174.6147740274318,Namur
591068.3911527223,-37158.72781388035,-169.70780006331745,Namur
591884.8864943737,-37692.71576732039,-163.62567947334287,Namur
592719.4162612207,-38238.49823483832,-156.13923018016595,Namur
593729.1739738585,-38898.87977890347,-146.66139274285447,Namur
594676.4450209405,-39518.39504369511,-138.20899610146188,Namur
595559.1555356313,-40095.687720302936,-130.70636285239738,Namur
596375.2316510958,-40629.40149981668,-124.07781559206984,Namur
597122.5995004986,-41118.180073326075,-118.24767691688828,Namur
597799.1852170043,-41560.667131920796,-113.14026942326188,Namur
598402.9149337776,-41955.5063666906,-108.67991570759955,Namur
598931.7147839835,-42301.34146872519,-104.79093836631029,Namur
599383.5109007864,-42596.8161291143,-101.39765999580322,Namur
599756.2294173511,-42840.57403894763,-98.42440319248726,Namur
600000.0,-43000.0,-91.4415666946455,Namur
600000.0,-43000.0,-85.58594647950139,Namur
600000.0,-43000.0,-84.94233956274647,Namur
544932.9685346948,-9256.191518147129,-58.66854170667207,Cretaceous
542096.7889078866,-8671.938515024647,-51.73288656030306,Cretaceous
539861.4877812256,-8211.466482932481,-46.49247030673814,Cretaceous
538156.8526560988,-7860.311647156337,-42.710028182031635,Cretaceous
536912.6710338928,-7604.010232981906,-40.148295422237936,Cretaceous
536058.7304159947,-7428.098465694891,-38.57000726341147,Cretaceous
535524.8183037912,-7318.112570580993,-37.73789894160652,Cretaceous
535240.7221986694,-7259.588772925909,-37.414705692877504,Cretaceous
535136.2296020162,-7238.06329801534,-37.36316275327874,Cretaceous
534993.0728602505,-7208.573009211608,-37.136015383337536,Cretaceous
534245.0224382132,-7054.474622271915,-35.915773471420806,Cretaceous
533010.4718756602,-6800.157206386011,-34.013753743516816,Cretaceous
531480.2606680369,-6484.9336976155855,-31.85170383206335,Cretaceous
529845.228310788,-6148.1170320223355,-29.851371369498082,Cretaceous
528296.214299359,-5829.020145667949,-28.43450398825874,Cretaceous
527024.0581291948,-5566.955974614123,-28.02284932078308,Cretaceous
525771.8323250901,-5308.997458968548,-28.598720362551745,Cretaceous
524183.68558250554,-4981.839229996143,-28.933122896703765,Cretaceous
522548.3819900854,-4644.966689957599,-29.021752143432536,Cretaceous
521127.6392833532,-4352.293692370749,-28.9682353133052,Cretaceous
520183.1751978322,-4157.734090753434,-28.876199616888925,Cretaceous
519944.79010550625,-4108.626761734289,-28.844227829558633,Cretaceous
